miss_rate,cache_size,associativity,cache_size_power
0.734,64,1,6
0.711,128,1,7
0.689,256,1,8
0.65,512,1,9
0.627,1024,1,10
0.607,2048,1,11
0.598,4096,1,12
0.593,8192,1,13
0.588,16384,1,14
0.586,32768,1,15
0.584,65536,1,16
0.583,131072,1,17
0.582,262144,1,18
0.736,64,2,6
0.714,128,2,7
0.682,256,2,8
0.649,512,2,9
0.614,1024,2,10
0.596,2048,2,11
0.586,4096,2,12
0.584,8192,2,13
0.583,16384,2,14
0.582,32768,2,15
0.582,65536,2,16
0.582,131072,2,17
0.582,262144,2,18
0.74,64,4,6
0.717,128,4,7
0.679,256,4,8
0.634,512,4,9
0.604,1024,4,10
0.591,2048,4,11
0.583,4096,4,12
0.582,8192,4,13
0.582,16384,4,14
0.582,32768,4,15
0.582,65536,4,16
0.582,131072,4,17
0.582,262144,4,18
0.735,64,8,6
0.717,128,8,7
0.676,256,8,8
0.632,512,8,9
0.595,1024,8,10
0.589,2048,8,11
0.583,4096,8,12
0.582,8192,8,13
0.582,16384,8,14
0.582,32768,8,15
0.582,65536,8,16
0.582,131072,8,17
0.582,262144,8,18
0.717,128,16,7
0.677,256,16,8
0.627,512,16,9
0.594,1024,16,10
0.589,2048,16,11
0.583,4096,16,12
0.582,8192,16,13
0.582,16384,16,14
0.582,32768,16,15
0.582,65536,16,16
0.582,131072,16,17
0.582,262144,16,18
